"player","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","team_abbrev"
"Ramírez, José","608070","2024","682","544",0.279,0.262,0.017000000000000015,0.537,0.46,0.07700000000000001,0.364,0.332,0.03199999999999997,"CLE"
"Giménez, Andrés","665926","2024","633","495",0.252,0.265,-0.013000000000000012,0.34,0.362,-0.021999999999999964,0.281,0.299,-0.01799999999999996,"CLE"
"Naylor, Josh","647304","2024","633","462",0.243,0.257,-0.014000000000000012,0.456,0.448,0.008000000000000007,0.332,0.334,-0.0020000000000000018,"CLE"
"Kwan, Steven","680757","2024","540","431",0.292,0.286,0.006000000000000005,0.425,0.39,0.034999999999999976,0.349,0.334,0.014999999999999958,"CLE"
"Thomas, Lane","657041","2024","528","340",0.237,0.246,-0.009000000000000008,0.4,0.383,0.017000000000000015,0.309,0.31,-0.0010000000000000009,"CLE"
"Rocchio, Brayan","677587","2024","442","300",0.206,0.213,-0.007000000000000006,0.316,0.31,0.006000000000000005,0.276,0.277,-0.0010000000000000009,"CLE"
"Fry, David","681807","2024","392","255",0.263,0.248,0.015000000000000013,0.448,0.405,0.04299999999999998,0.347,0.328,0.01899999999999996,"CLE"
"Naylor, Bo","666310","2024","389","236",0.201,0.198,0.0030000000000000027,0.35,0.335,0.014999999999999958,0.269,0.262,0.007000000000000006,"CLE"
"Freeman, Tyler","671289","2024","383","283",0.209,0.239,-0.03,0.321,0.342,-0.02100000000000002,0.283,0.303,-0.020000000000000018,"CLE"
"Brennan, Will","686823","2024","353","283",0.264,0.269,-0.0050000000000000044,0.388,0.375,0.013000000000000012,0.303,0.301,0.0020000000000000018,"CLE"
"Schneemann, Daniel","682177","2024","221","126",0.218,0.211,0.007000000000000006,0.368,0.313,0.05499999999999999,0.295,0.279,0.01599999999999996,"CLE"
"Noel, Jhonkensy","678877","2024","198","117",0.218,0.222,-0.0040000000000000036,0.486,0.442,0.043999999999999984,0.331,0.325,0.006000000000000005,"CLE"
"Martínez, Angel","682657","2024","169","121",0.232,0.222,0.010000000000000009,0.338,0.308,0.030000000000000027,0.282,0.27,0.011999999999999955,"CLE"
"Arias, Gabriel","672356","2024","161","101",0.222,0.223,-0.0010000000000000009,0.353,0.375,-0.02200000000000002,0.263,0.275,-0.01200000000000001,"CLE"
"Manzardo, Kyle","700932","2024","156","105",0.234,0.201,0.033,0.421,0.388,0.032999999999999974,0.303,0.276,0.02699999999999997,"CLE"
"Hedges, Austin","595978","2024","146","87",0.152,0.124,0.027999999999999997,0.22,0.178,0.04200000000000001,0.191,0.164,0.026999999999999996,"CLE"
"Florial, Estevan","664314","2024","111","58",0.173,0.169,0.003999999999999976,0.367,0.288,0.07900000000000001,0.277,0.249,0.028000000000000025,"CLE"
"Rodriguez, Johnathan","671286","2024","40","17",0.129,0.132,-0.0030000000000000027,0.161,0.16,0.0010000000000000009,0.253,0.254,-0.0010000000000000009,"CLE"
"Straw, Myles","664702","2024","4","4",0.25,0.223,0.026999999999999996,0.25,0.26,-0.010000000000000009,0.22,0.203,0.016999999999999987,"CLE"
