"player","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","team_abbrev"
"Alonso, Pete","624413","2024","695","440",0.24,0.246,-0.006000000000000005,0.459,0.47,-0.010999999999999954,0.34,0.345,-0.004999999999999949,"NYM"
"Lindor, Francisco","596019","2024","689","494",0.273,0.287,-0.013999999999999957,0.5,0.539,-0.039000000000000035,0.363,0.382,-0.019000000000000017,"NYM"
"Nimmo, Brandon","607043","2024","663","416",0.224,0.246,-0.021999999999999992,0.399,0.419,-0.019999999999999962,0.321,0.337,-0.016000000000000014,"NYM"
"Winker, Jesse","608385","2024","508","329",0.253,0.245,0.008000000000000007,0.405,0.388,0.017000000000000015,0.338,0.329,0.009000000000000008,"NYM"
"Martinez, J.D.","502110","2024","495","295",0.235,0.261,-0.026000000000000023,0.406,0.484,-0.07799999999999996,0.318,0.356,-0.03799999999999998,"NYM"
"McNeil, Jeff","643446","2024","472","360",0.238,0.237,0.0010000000000000009,0.384,0.34,0.043999999999999984,0.304,0.289,0.015000000000000013,"NYM"
"Vientos, Mark","668901","2024","454","283",0.266,0.248,0.018000000000000016,0.516,0.475,0.041000000000000036,0.356,0.335,0.020999999999999963,"NYM"
"Bader, Harrison","664056","2024","437","313",0.236,0.245,-0.009000000000000008,0.373,0.383,-0.010000000000000009,0.285,0.296,-0.01100000000000001,"NYM"
"Marte, Starling","516782","2024","370","259",0.269,0.29,-0.020999999999999963,0.388,0.432,-0.043999999999999984,0.313,0.338,-0.025000000000000022,"NYM"
"Taylor, Tyrone","621438","2024","345","241",0.248,0.253,-0.0050000000000000044,0.401,0.394,0.007000000000000006,0.304,0.304,0,"NYM"
"Alvarez, Francisco","682626","2024","342","224",0.237,0.222,0.014999999999999986,0.403,0.368,0.03500000000000003,0.31,0.291,0.019000000000000017,"NYM"
"Iglesias, Jose","578428","2024","291","232",0.337,0.286,0.051000000000000045,0.448,0.368,0.08000000000000002,0.362,0.312,0.04999999999999999,"NYM"
"Stewart, DJ","621466","2024","194","111",0.177,0.214,-0.037000000000000005,0.297,0.353,-0.055999999999999994,0.29,0.328,-0.038000000000000034,"NYM"
"Baty, Brett","683146","2024","171","112",0.229,0.211,0.018000000000000016,0.327,0.347,-0.019999999999999962,0.282,0.28,0.0019999999999999463,"NYM"
"Torrens, Luis","620443","2024","130","91",0.229,0.263,-0.034,0.373,0.41,-0.03699999999999998,0.292,0.322,-0.030000000000000027,"NYM"
"Narváez, Omar","553882","2024","69","54",0.154,0.171,-0.017000000000000015,0.185,0.228,-0.04300000000000001,0.171,0.195,-0.023999999999999994,"NYM"
"Acuña, Luisangel","682668","2024","40","33",0.308,0.272,0.035999999999999976,0.641,0.436,0.20500000000000002,0.406,0.309,0.09700000000000003,"NYM"
"Wendle, Joey","621563","2024","37","27",0.222,0.23,-0.008000000000000007,0.25,0.307,-0.056999999999999995,0.219,0.245,-0.025999999999999995,"NYM"
"Alvarez, Eddy","657193","2024","11","7",0,0.179,-0.179,0,0.204,-0.204,0.128,0.262,-0.134,"NYM"
