"player","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","team_abbrev"
"Soto, Juan","665742","2024","713","461",0.288,0.319,-0.031000000000000028,0.569,0.658,-0.08900000000000008,0.421,0.463,-0.04200000000000004,"NYY"
"Judge, Aaron","592450","2024","704","390",0.322,0.315,0.007000000000000006,0.701,0.742,-0.041000000000000036,0.476,0.484,-0.008000000000000007,"NYY"
"Volpe, Anthony","683011","2024","689","486",0.243,0.24,0.0030000000000000027,0.364,0.34,0.023999999999999966,0.287,0.28,0.006999999999999951,"NYY"
"Torres, Gleyber","650402","2024","665","461",0.257,0.242,0.015000000000000013,0.378,0.379,-0.0010000000000000009,0.313,0.31,0.0030000000000000027,"NYY"
"Chisholm Jr., Jazz","665862","2024","621","412",0.256,0.242,0.014000000000000012,0.436,0.423,0.013000000000000012,0.327,0.318,0.009000000000000008,"NYY"
"Verdugo, Alex","657077","2024","621","478",0.233,0.251,-0.017999999999999988,0.356,0.38,-0.02400000000000002,0.283,0.304,-0.02100000000000002,"NYY"
"Stanton, Giancarlo","519317","2024","459","276",0.233,0.252,-0.01899999999999999,0.475,0.523,-0.04800000000000004,0.33,0.355,-0.024999999999999967,"NYY"
"Wells, Austin","669224","2024","414","275",0.229,0.244,-0.014999999999999986,0.395,0.439,-0.043999999999999984,0.315,0.341,-0.026000000000000023,"NYY"
"Rizzo, Anthony","519203","2024","375","274",0.228,0.239,-0.010999999999999982,0.335,0.346,-0.010999999999999954,0.285,0.296,-0.01100000000000001,"NYY"
"Cabrera, Oswaldo","665828","2024","326","241",0.247,0.249,-0.0020000000000000018,0.365,0.338,0.02699999999999997,0.29,0.285,0.0050000000000000044,"NYY"
"Trevino, Jose","624431","2024","234","171",0.215,0.205,0.010000000000000009,0.354,0.319,0.034999999999999976,0.284,0.269,0.014999999999999958,"NYY"
"LeMahieu, DJ","518934","2024","228","173",0.204,0.248,-0.04400000000000001,0.259,0.372,-0.11299999999999999,0.239,0.302,-0.063,"NYY"
"Grisham, Trent","663757","2024","209","125",0.19,0.209,-0.01899999999999999,0.385,0.407,-0.021999999999999964,0.295,0.312,-0.017000000000000015,"NYY"
"Rice, Ben","700250","2024","178","109",0.171,0.233,-0.062,0.349,0.464,-0.11500000000000005,0.269,0.336,-0.067,"NYY"
"Davis, J.D.","605204","2024","157","103",0.218,0.213,0.0050000000000000044,0.338,0.352,-0.013999999999999957,0.282,0.284,-0.0020000000000000018,"NYY"
"Berti, Jon","542932","2024","74","53",0.273,0.276,-0.0030000000000000027,0.318,0.341,-0.02300000000000002,0.3,0.31,-0.010000000000000009,"NYY"
"Domínguez, Jasson","691176","2024","67","37",0.179,0.207,-0.027999999999999997,0.304,0.339,-0.03500000000000003,0.285,0.308,-0.02300000000000002,"NYY"
"Jones, Jahmai","663330","2024","47","27",0.238,0.195,0.04299999999999998,0.381,0.34,0.04099999999999998,0.302,0.268,0.033999999999999975,"NYY"
"Narvaez, Carlos","665966","2024","15","7",0.231,0.251,-0.01999999999999999,0.231,0.297,-0.06599999999999998,0.268,0.299,-0.030999999999999972,"NYY"
"Peraza, Oswald","672724","2024","11","7",0.2,0.244,-0.043999999999999984,0.5,0.536,-0.03600000000000003,0.329,0.362,-0.032999999999999974,"NYY"
"Trammell, Taylor","666211","2024","8","4",0.143,0.093,0.04999999999999999,0.143,0.1,0.04299999999999998,0.196,0.16,0.036000000000000004,"NYY"
"Ellis, Duke","668752","2024","5","3",0.2,0.278,-0.07800000000000001,0.2,0.293,-0.09299999999999997,0.176,0.254,-0.07800000000000001,"NYY"
