"player","team_abbrev","year","type","avg_hr_trot","doubters","mostly_gone","no_doubters","no_doubter_per","hr_total","xhr","xhr_diff"
"Ohtani, Shohei","LAD","2024","xhr","23.3",19,27,33,"57.9","57",52.9,"4.1"
"Hernández, Teoscar","LAD","2024","xhr","25.2",6,29,13,"36.1","36",34.2,"1.8"
"Freeman, Freddie","LAD","2024","xhr","22",19,20,7,"26.9","26",23,"3.0"
"Smith, Will","LAD","2024","xhr","22",11,23,7,"30.4","23",22.8,"0.2"
"Betts, Mookie","LAD","2024","xhr","23",14,17,5,"21.7","23",18.1,"4.9"
"Muncy, Max","LAD","2024","xhr","24.7",7,10,9,"50","18",16.8,"1.2"
"Pages, Andy","LAD","2024","xhr","21.1",7,12,7,"46.7","15",16.1,"-1.1"
"Hernández, Enrique","LAD","2024","xhr","21.7",8,4,6,"42.9","14",9.4,"4.6"
"Lux, Gavin","LAD","2024","xhr","24.5",6,8,2,"18.2","11",7.8,"3.2"
"Edman, Tommy","LAD","2024","xhr","22.5",2,10,0,"0","8",7.6,"0.4"
"Rojas, Miguel","LAD","2024","xhr","22.7",0,6,2,"33.3","6",6.7,"-0.7"
"Kiermaier, Kevin","LAD","2024","xhr","21.7",2,3,2,"40","5",4.2,"0.8"
"Taylor, Chris","LAD","2024","xhr","22.6",1,5,3,"75","4",6.9,"-2.9"
"Outman, James","LAD","2024","xhr","22.1",2,4,1,"25","4",4,"0.0"
"Barnes, Austin","LAD","2024","xhr","24.7",0,2,0,"0","1",1.2,"-0.2"
