"player","team_abbrev","year","type","avg_hr_trot","doubters","mostly_gone","no_doubters","no_doubter_per","hr_total","xhr","xhr_diff"
"Ramírez, José","CLE","2024","xhr","24.8",13,31,17,"41.5","41",41.7,"-0.7"
"Naylor, Josh","CLE","2024","xhr","27.8",10,19,13,"41.9","31",28.4,"2.6"
"Thomas, Lane","CLE","2024","xhr","22",10,14,5,"29.4","17",16.7,"0.3"
"Fry, David","CLE","2024","xhr","23.5",9,16,3,"18.8","16",16.9,"-0.9"
"Noel, Jhonkensy","CLE","2024","xhr","24.5",4,6,8,"57.1","14",12.4,"1.6"
"Kwan, Steven","CLE","2024","xhr","19.5",4,14,2,"14.3","14",12.4,"1.6"
"Naylor, Bo","CLE","2024","xhr","23.7",3,6,7,"53.8","13",12.3,"0.7"
"Rocchio, Brayan","CLE","2024","xhr","26.3",3,9,0,"0","9",7.2,"1.8"
"Giménez, Andrés","CLE","2024","xhr","23.8",1,11,1,"11.1","9",9.5,"-0.5"
"Brennan, Will","CLE","2024","xhr","22",7,6,2,"25","8",5.6,"2.4"
"Freeman, Tyler","CLE","2024","xhr","23.6",5,5,1,"14.3","7",5.6,"1.4"
"Manzardo, Kyle","CLE","2024","xhr","23.6",5,4,3,"50","6",6.3,"-0.3"
"Schneemann, Daniel","CLE","2024","xhr","22.4",3,3,2,"40","5",3.2,"1.8"
"Arias, Gabriel","CLE","2024","xhr","23.9",2,3,2,"66.7","3",3.8,"-0.8"
"Florial, Estevan","CLE","2024","xhr","22.6",1,2,1,"33.3","3",2.3,"0.7"
"Martínez, Angel","CLE","2024","xhr","24.9",1,3,1,"33.3","3",2.5,"0.5"
"Hedges, Austin","CLE","2024","xhr","23.2",0,3,0,"0","2",2,"0.0"
