"player","team_abbrev","year","type","avg_hr_trot","doubters","mostly_gone","no_doubters","no_doubter_per","hr_total","xhr","xhr_diff"
"Judge, Aaron","NYY","2024","xhr","23.9",19,33,30,"49.2","61",54.1,"6.9"
"Soto, Juan","NYY","2024","xhr","27.4",13,29,26,"57.8","45",46.5,"-1.5"
"Stanton, Giancarlo","NYY","2024","xhr","23.9",9,21,19,"55.9","34",34.8,"-0.8"
"Chisholm Jr., Jazz","NYY","2024","xhr","26.8",9,17,11,"42.3","26",25.3,"0.7"
"Torres, Gleyber","NYY","2024","xhr","23.6",21,12,1,"5.9","17",11.3,"5.7"
"Wells, Austin","NYY","2024","xhr","22.5",5,14,7,"46.7","15",17.4,"-2.4"
"Verdugo, Alex","NYY","2024","xhr","28.2",8,13,4,"28.6","14",13.5,"0.5"
"Volpe, Anthony","NYY","2024","xhr","22.9",8,15,1,"7.7","13",11.9,"1.1"
"Grisham, Trent","NYY","2024","xhr","21.7",4,6,5,"55.6","9",8.9,"0.1"
"Trevino, Jose","NYY","2024","xhr","22.4",1,7,3,"37.5","8",7.4,"0.6"
"Cabrera, Oswaldo","NYY","2024","xhr","23.5",6,3,1,"12.5","8",4.1,"3.9"
"Rizzo, Anthony","NYY","2024","xhr","26.2",2,6,3,"37.5","8",7.4,"0.6"
"Rice, Ben","NYY","2024","xhr","21.4",1,8,4,"57.1","7",9.4,"-2.4"
"Davis, J.D.","NYY","2024","xhr","20.4",2,3,1,"25","4",3.7,"0.3"
"LeMahieu, DJ","NYY","2024","xhr","21.3",4,2,0,"0","2",1.3,"0.7"
"Domínguez, Jasson","NYY","2024","xhr","24.5",0,1,1,"50","2",1.6,"0.4"
"Jones, Jahmai","NYY","2024","xhr","19.6",0,2,0,"0","1",1.4,"-0.4"
"Berti, Jon","NYY","2024","xhr","19.8",1,0,0,"0","1",0.1,"0.9"
"Peraza, Oswald","NYY","2024","xhr","22.7",0,0,1,"100","1",1,"0.0"
